# 其他土話
id,富川(七都話)_聲母,富川(七都話)_韻母,富川(七都話)_調值,富川(七都話)_調類,富川(八都話)_聲母,富川(八都話)_韻母,富川(八都話)_調值,富川(八都話)_調類,鍾山(公安)_聲母,鍾山(公安)_韻母,鍾山(公安)_調值,鍾山(公安)_調類,賀州(九都話)_聲母,賀州(九都話)_韻母,賀州(九都話)_調值,賀州(九都話)_調類,湖南(道縣)_聲母,湖南(道縣)_韻母,湖南(道縣)_調值,湖南(道縣)_調類,江永城關(白水村)_聲母,江永城關(白水村)_韻母,江永城關(白水村)_調值,江永城關(白水村)_調類,豐陽_聲母,豐陽_韻母,豐陽_調值,豐陽_調類,星子_聲母,星子_韻母,星子_調值,星子_調類,西岸_聲母,西岸_韻母,西岸_調值,西岸_調類,保安_聲母,保安_韻母,保安_調值,保安_調類,連州_聲母,連州_韻母,連州_調值,連州_調類
15177,pʰ,ɐi,44,陰去,pʰ,a,22,陽上,pʰ,i,52,陰去,pʰ,ɛi,52,陰去,pʰ,a,33,陰去,,,,,pʰ,ɛi,53,陰去,pʰ,i,53,陰去,pʰ,əi,52,陰去,pʰ,ei,53,陰去,pʰ,Ai,11,陰去
15179,ts,ai,44,陰去,ts,ɿ,24,陰上,tʃ,i,52,陰去,ts,i,52,陰去,ts,ɿ,33,陰去,,,,,ts,ɿ,53,陰去,tʃ,i,53,陰去,tʃ,i,52,陰去,ʃ,i,53,陰去,ts,i,11,陰去
15194,kʰ,i,35,陽去,tsʰ,i,24,陰上,h,i,35,陰平,x,i,52,陰去,tsʰ,i,52,陽去,tɕʰ,i,21,陰去,,,,,,,,,,,,,,,,,,,,
15200,ts,ɿ,35,陽去,ts,ɿ,24,陰上,tʃ,i,52,陰去,ts,ɿ,52,陰去,ts,ɿ,33,陰去,,,,,tsʰ,ɿ,55,上聲,ts,ɿ,53,陰去,ts,ɿ,31,陰平,tʃʰ,i,33,陰平,ts,i,33,陽去
15211,m,ɐi,35,陽去,m,ɐi,55,陽去,m,ui,21,陽去,m,ɛi,33,陽去,m,i,52,陽去,,,,,,,,,,,,,,,,,,,,,,,,
15221,k,i,35,陽去,ts,i,24,陰上,0,i,52,陰去,k,i,52,陰去,ts,i,52,陽去,,,,,,,,,,,,,,,,,,,,,,,,
15222,k,i,35,陽去,ts,i,24,陰上,0,i,52,陰去,k,i,52,陰去,ts,i,52,陽去,,,,,,,,,,,,,,,,,,,,,,,,
15241,tsʰ,y,44,陰去,tsʰ,uɐi,22,陽上,tsʰ,ui,52,陰去,tsʰ,ui,52,陰去,tsʰ,ua,33,陰去,tɕʰ,y,21,陰去,,,,,,,,,,,,,,,,,,,,
15244,n,ai,35,陽去,ŋ,a,55,陽去,ȵ,i,21,陽去,ŋ,i,33,陽去,0,a,52,陽去,n,a,33,陽去,n,u,21,陽去,ȵ,i,21,陽去,ŋ,i,22,陽去,ȵ,i,11,陽去,ȵ,i,33,陽去
15245,n,ai,35,陽去,ŋ,a,55,陽去,ȵ,i,21,陽去,ŋ,i,33,陽去,0,a,52,陽去,,,,,n,u,21,陽去,ȵ,i,21,陽去,ŋ,i,22,陽去,ȵ,i,11,陽去,ȵ,i,33,陽去
